"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"5433","Punjab","Fitting of Sitting RCC Benches in Public Places","WS/MP716/2025-2026/210123","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","22-Jun-2026","MANJOT ENTERPRISES COMPANY","Payment Success","38400"
"5434","Haryana","Construction of public libraries and reading rooms","WS/MP18064/2025-2026/186140","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","NAVEEN JINDAL","KURUKSHETRA","30-Jun-2026","THE AGS COOPERATIVE LABOUR AND CONSTRUCTION SOCITY LTD","Payment Success","767396"
"5435","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP386/2026-2027/242682","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","14-Aug-2026","AAYUSH BUILDWELL","Payment Success","805247"
"5436","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP18320/2025-2026/175021","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","GENIBEN NAGAJI THAKOR","BANASKANTHA","15-Jul-2026","DHUNSOL GRAM PANCHAYAT","Payment Success","499034"
"5437","Gujarat","Construction of public toilets and bathrooms","WS/MP18059/2025-2026/182121","Dangs(DISTRICT COLLECTOR DANG_IDA)","DHAVAL LAXMANBHAI PATEL","VALSAD(ST)","22-Jun-2026","SARPACH GGP KAMAD","Payment Success","499224"
"5438","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP618/2025-2026/171216","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","23-Jun-2026","RAMESH SADASHIV HEGADI","Payment Success","750000"
"5439","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP618/2025-2026/171216","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","31-Jul-2026","RAMESH SADASHIV HEGADI","Payment Success","249999"
"5440","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP508/2026-2027/202681","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","16-Jul-2026","R Kumar","Payment Success","199800"
"5441","Maharashtra","Construction of community centers and community halls","WS/MP18114/2026-2027/157647","BEED(DISTRICT COLLECTOR BEED_IDA)","BAJRANG MANOHAR SONWANE","BEED","20-Jun-2026","AJINKYA YODDHA MAJOOR SAHAKARI SANSTHA M KAIJ","Payment Success","998710"
"5442","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18147/2025-2026/250337","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","22-Jun-2026","RASIKANANDA MISHRA","Payment Success","500000"
"5443","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2026-2027/166248","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","23-Jun-2026","ANIL K C","Payment Success","196051"
"5444","Madhya Pradesh","Construction of community centers and community halls","WS/MP18101/2026-2027/279083","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","23-Jun-2026","SUPDT OF POLICE LINE FUND","Payment Success","300000"
"5445","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/267132","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","18-Jul-2026","OM RAWAT","Payment Success","24240"
"5446","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/267132","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","18-Jul-2026","SHWETA NEGI","Payment Success","24240"
"5447","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/267132","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","18-Jul-2026","GEETA RAWAT","Payment Success","19695"
"5448","Haryana","Construction of community centers and community halls","WS/MP18062/2025-2026/228315","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","22-Jun-2026","PARDEEP KUMAR GOVT CONTRACTOR","Payment Success","270913"
"5449","Karnataka","Installing community drinking water plants","WS/MP18355/2026-2027/270594","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","15-Jul-2026","SHRAVANA ENTERPRISES","Payment Success","1220805"
"5450","Karnataka","Installing community drinking water plants","WS/MP18355/2026-2027/270594","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","15-Jul-2026","SHRAVANA ENTERPRISES","Payment Success","305201"
"5451","Karnataka","Installing community drinking water plants","WS/MP18355/2026-2027/270593","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","14-Jul-2026","SHRAVANA ENTERPRISES","Payment Success","1220805"
"5452","Karnataka","Installing community drinking water plants","WS/MP18355/2026-2027/270593","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","14-Jul-2026","SHRAVANA ENTERPRISES","Payment Success","305201"
"5453","Karnataka","Installing tube-wells and borewells","WS/MP18355/2026-2027/270577","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","15-Jul-2026","SHRAVANA ENTERPRISES","Payment Success","461193"
"5454","Karnataka","Installing tube-wells and borewells","WS/MP18355/2026-2027/270577","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","15-Jul-2026","SHRAVANA ENTERPRISES","Payment Success","115299"
"5455","Karnataka","Installing tube-wells and borewells","WS/MP18355/2026-2027/270576","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","15-Jul-2026","SHRAVANA ENTERPRISES","Payment Success","461193"
"5456","Karnataka","Installing tube-wells and borewells","WS/MP18355/2026-2027/270576","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","15-Jul-2026","SHRAVANA ENTERPRISES","Payment Success","115299"
"5457","Karnataka","Installing tube-wells and borewells","WS/MP18355/2026-2027/270575","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","15-Jul-2026","SHRAVANA ENTERPRISES","Payment Success","461193"
"5458","Karnataka","Installing tube-wells and borewells","WS/MP18355/2026-2027/270575","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","15-Jul-2026","SHRAVANA ENTERPRISES","Payment Success","115299"
"5459","Karnataka","Installing tube-wells and borewells","WS/MP18355/2026-2027/270574","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","15-Jul-2026","SHRAVANA ENTERPRISES","Payment Success","461193"
"5460","Karnataka","Installing tube-wells and borewells","WS/MP18355/2026-2027/270574","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","15-Jul-2026","SHRAVANA ENTERPRISES","Payment Success","115299"
"5461","Karnataka","Installing tube-wells and borewells","WS/MP18355/2026-2027/270573","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","03-Aug-2026","SHRAVANA ENTERPRISES","Payment Success","461193"
"5462","Karnataka","Installing tube-wells and borewells","WS/MP18355/2026-2027/270573","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","03-Aug-2026","SHRAVANA ENTERPRISES","Payment Success","115299"
"5463","Karnataka","Installing tube-wells and borewells","WS/MP18355/2026-2027/270572","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","15-Jul-2026","SHRAVANA ENTERPRISES","Payment Success","461193"
"5464","Karnataka","Installing tube-wells and borewells","WS/MP18355/2026-2027/270572","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","15-Jul-2026","SHRAVANA ENTERPRISES","Payment Success","115299"
"5465","Haryana","Development of playfields and sports grounds","WS/MP329/2025-2026/253599","MAHENDRAGARH(DEPUTY COMMISSIONER MAHENDRAGARH_IDA)","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","22-Jun-2026","VINOD KUMAR CONTRACTOR","Payment Success","299565"
"5466","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241129","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","25-Jul-2026","BANDANA SRIVASTAVA","Payment Success","162486"
"5467","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18320/2025-2026/231513","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","GENIBEN NAGAJI THAKOR","BANASKANTHA","02-Jul-2026","CHIBHADA GRAM PANCHAYAT CHIBHDA","Payment Success","300000"
"5468","Gujarat","Construction of footpaths and pedestrian ways","WS/	 MP578/2025-2026/241830","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","22-Jun-2026","HANDOD GRAM PANCAHAYT","Payment Success","100000"
"5469","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/162116","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","22-Jun-2026","HANDOD GRAM PANCAHAYT","Payment Success","250000"
"5470","Gujarat","Installing tube-wells and borewells","WS/MP18320/2025-2026/238924","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","GENIBEN NAGAJI THAKOR","BANASKANTHA","02-Jul-2026","DHRANDAV GROUP GRAM PANCHAYAT DHRANDAV","Payment Success","300000"
"5471","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP727/2025-2026/244863","KOTA(DISTRICT COLLECTOR KOTA_IDA)","Om Birla","KOTA","07-Jul-2026","YASHASVI ENTERPRISES","Payment Success","327471"
"5472","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP588/2025-2026/202426","JAMNAGAR(DISTRICT COLLECTOR JAMNAGAR_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","08-Jul-2026","APIYA GRAM PANCHAYAT","Payment Success","399851"
"5473","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18186/2026-2027/270260","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","22-Jun-2026","D S PRABHU","Payment Success","499816"
"5474","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18186/2026-2027/270262","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","22-Jun-2026","D S PRABHU","Payment Success","499484"
"5475","Maharashtra","Development of public parks","WS/MP18122/2026-2027/225832","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","KALYAN VAIJINATHRAO KALE","JALNA","07-Jul-2026","RAHUL VISHWANATH AAGE","Payment Success","922260"
"5476","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/162092","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","22-Jun-2026","CHHANCHHVA GRAM PANCHAYT","Payment Success","199700"
"5477","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2025-2026/241834","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","22-Jun-2026","SURVADA GRAM PANCHAYT","Payment Success","100000"
"5478","Gujarat","Construction of footpaths and pedestrian ways","WS/	 MP578/2025-2026/241846","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","24-Jun-2026","KURALI GRAM PANCHAYT","Payment Success","100000"
"5479","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2025-2026/241865","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","22-Jun-2026","SARING GRAM PANACAHAYT","Payment Success","100000"
"5480","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/162090","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","22-Jun-2026","SARING GRAM PANACAHAYT","Payment Success","250000"
"5481","Odisha","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18142/2025-2026/251383","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","30-Jun-2026","SATENDRA KUMAR SINGH","Payment Success","330000"
"5482","Odisha","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18142/2025-2026/251384","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","30-Jun-2026","SATENDRA KUMAR SINGH","Payment Success","330000"
"5483","Odisha","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18142/2025-2026/251385","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","30-Jun-2026","SATENDRA KUMAR SINGH","Payment Success","990000"
"5484","Odisha","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18142/2025-2026/251386","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","30-Jun-2026","SATENDRA KUMAR SINGH","Payment Success","990000"
"5485","Odisha","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18142/2025-2026/251387","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","01-Jul-2026","SATENDRA KUMAR SINGH","Payment Success","330000"
"5486","Odisha","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18142/2025-2026/251388","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","26-Jun-2026","SATENDRA KUMAR SINGH","Payment Success","330000"
"5487","Odisha","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18142/2025-2026/251389","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","30-Jun-2026","SATENDRA KUMAR SINGH","Payment Success","990000"
"5488","Odisha","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18142/2025-2026/251390","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","30-Jun-2026","SATENDRA KUMAR SINGH","Payment Success","990000"
"5489","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2025-2026/241917","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","22-Jun-2026","ANASTU GRAM PANCHAYT","Payment Success","99800"
"5490","Rajasthan","Construction of community centers and community halls","WS/MP386/2026-2027/242686","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","22-Jul-2026","BIJARNIYA CONTRACTOR AND SUPPLIERS","Payment Success","404036"
"5491","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2025-2026/241840","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","24-Jun-2026","DHAVAT GRAM PANCHAYT","Payment Success","100000"
"5492","Tamil Nadu","Construction of public irrigation facilities","WS/MP18384/2025-2026/259034","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","SELVARAJ V","NAGAPATTINAM(SC)","22-Jun-2026","Ravichandran G","Payment Success","497516"
"5493","Assam","Construction of common work sheds/ common covered sitting area","WS/MP18021/2025-2026/227395","DHUBRI(DEPUTY COMMISSIONER DHUBRI_IDA)","RAKIBUL HUSSAIN","DHUBRI","23-Jul-2026","JOYNAL ABEDIN","Payment Success","700000"
"5494","Maharashtra","Construction of community centers and community halls","WS/MP18112/2025-2026/233412","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","20-Jun-2026","AJ CONSTRUCTION PROP ATUL J NAGAPURE","Payment Success","813957"
"5495","Maharashtra","Construction of community centers and community halls","WS/MP18112/2025-2026/233412","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","10-Aug-2026","AJ CONSTRUCTION PROP ATUL J NAGAPURE","Payment Success","185713"
"5496","Karnataka","Lighting of public spaces","WS/MP18081/2025-2026/239410","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","20-Jun-2026","SRINIVAS K","Payment Success","125000"
"5497","Karnataka","Lighting of public spaces","WS/MP18081/2025-2026/239410","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","DR.K.SUDHAKAR","CHIKBALLAPUR","25-Jun-2026","SRINIVAS K","Payment Success","122759"
"5498","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP685/2026-2027/257924","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shrirang Appa Barne","MAVAL","13-Jul-2026","Ajnkya Avinash Tawade","Payment Success","500000"
"5499","Odisha","Construction of rooms and halls in school and colleges","WS/MP18358/2025-2026/187827","GANJAM(DISTRICT COLLECTOR GANJAM_IDA)","ANITA SUBHADARSHINI","ASKA","20-Jul-2026","K Asoka Kumar Senapaty","Payment Success","600000"
"5500","Odisha","Renovation of ponds and lakes","WS/MP18358/2025-2026/221115","GANJAM(DISTRICT COLLECTOR GANJAM_IDA)","ANITA SUBHADARSHINI","ASKA","20-Jul-2026","K Asoka Kumar Senapaty","Payment Success","500000"
"5501","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP777/2025-2026/225322","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","23-Jun-2026","JAI MAA VAISNO INFRATECH PRO AMIT KUAMR GOYAL","Payment Success","1614959"
