"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"5670","Normal/Others","WS/MP18317/2024-2025/144520-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT TULLAPATTI RAMILLA MAIDAN KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5671","Normal/Others","WS/MP18317/2024-2025/144521-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT TULLAPATTI SASHIKANT DUBEY KE GHAR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5672","Normal/Others","WS/MP18317/2024-2025/144522-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT BHAWANIPUR URF TIWARIPUR CHAHARAN CHATTI KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5673","Normal/Others","WS/MP18317/2024-2025/144523-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT BHAWANIPUR URF TIWARIPUR PANCHAYAT BHAWAN SAMUDAYIK SAUCHALAY CHAURAHA KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5674","Normal/Others","WS/MP18317/2024-2025/144524-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT MADANPUR URF PRATAPPUR MAA DURGA MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5675","Normal/Others","WS/MP18317/2024-2025/144525-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT MAKSUDAN PAH KALI MAI MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5676","Normal/Others","WS/MP18317/2024-2025/144526-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PARMETH HANUMAN MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5677","Normal/Others","WS/MP18317/2024-2025/144527-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PARMETH SANKAR JII MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5678","Normal/Others","WS/MP18317/2024-2025/144528-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PARMETH KALI MATA MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5679","Normal/Others","WS/MP18317/2024-2025/144529-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT KARANDA PURVA MADHYAMIK VIDHAYALAY KARANDA KE MUKHYA DWAR KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5680","Normal/Others","WS/MP18317/2024-2025/144530-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT ANKUSHPUR JAI MAA BANJARI MATA MANDIR  KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5681","Normal/Others","WS/MP18317/2024-2025/144531-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT ANKUSHPUR SUNIL BIND KE GHAR KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5682","Normal/Others","WS/MP18317/2024-2025/144532-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT ANKUSHPUR ME SAHERI RAILWAY CROSSING KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5683","Normal/Others","WS/MP18317/2024-2025/144533-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT DINAPUR RAMILLA MAIDAN KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5684","Normal/Others","WS/MP18317/2024-2025/144534-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT DINAPUR BIND BASTI SANKAR JII MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5685","Normal/Others","WS/MP18317/2024-2025/144535-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT DINAPUR TULSIPUR SANKAR JII MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5686","Normal/Others","WS/MP18317/2024-2025/144562-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT CHOCHAKPUR MAUNIBABA MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5687","Normal/Others","WS/MP18317/2024-2025/144563-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT CHOCHAKPUR SHAAMSAAN GHAT KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5688","Normal/Others","WS/MP18317/2024-2025/144564-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT CHOCHAKPUR LAKSHAMANPUR CHAURAHA KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5689","Normal/Others","WS/MP18317/2024-2025/144565-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT SABUA GOPAL BRAHMBABA MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5690","Normal/Others","WS/MP18317/2024-2025/144566-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT BHARSARA SAHARA OFFICE KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5691","Normal/Others","WS/MP18317/2024-2025/144567-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT BHARSARA JANTA MEDICAL STORE KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5692","Normal/Others","WS/MP18317/2024-2025/144568-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM KATARIYA ME PANCHAYAT BHAWAN KE PASS  SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5693","Normal/Others","WS/MP18317/2024-2025/144569-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM SONHARIYA ME KAMLA GIRI KE GHAR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5694","Normal/Others","WS/MP18317/2024-2025/144570-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT KHIJIRPUR JANKI MOD CHAURAHE KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5695","Normal/Others","WS/MP18317/2024-2025/144571-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK KARANDA GRAM PANCHAYAT HIMARDOPUR ME GAJJADHARPUR ME SANKAR JI KE MANDIR PAR SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5696","Normal/Others","WS/MP18317/2024-2025/144574-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD ZAMANIA WARD NO 17 RAILWAY STATION BUS STAND KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5697","Normal/Others","WS/MP18317/2024-2025/144575-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD ZAMANIA WARD NO 5 RAILWAY CHAKKABANDH KASHI RAM AWASH KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5698","Normal/Others","WS/MP18317/2024-2025/144580-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD ZAMANIA WARD NO 13 NAI BASTI LODIPUR ASHOK WAKIL KE TIRAHE KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Sanction"
"5699","Normal/Others","WS/MP18317/2024-2025/144581-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD ZAMANIA NAI BASTI LODIPUR THANNA GATE KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5700","Normal/Others","WS/MP18317/2024-2025/144582-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD ZAMANIA KASBA WARD NO 13 LODIPUR SANTOSH PANDEY KE GHAR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Sanction"
"5701","Normal/Others","WS/MP18317/2024-2025/144583-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD ZAMANIA WARD NO 12 SONAR TOLI LATE GOPAL VERMA KE GHAR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5702","Normal/Others","WS/MP18317/2024-2025/144585-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD ZAMANIA KASBA WARD NO 19 MURAHU CHAUDHARY KE GHAR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5703","Normal/Others","WS/MP18317/2024-2025/144586-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD ZAMANIA WARD NO 23 HARPUR HANUMAN MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5704","Normal/Others","WS/MP18317/2024-2025/144587-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","NAGAR PALIKA PARISHAD ZAMANIA WARD NO 13 NH 24 DHARAMARPUR MOD PAR SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5705","Normal/Others","WS/MP18317/2024-2025/144589-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT MAHEWA BABA MAHESHWAR NATH GATE KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Sanction"
"5706","Normal/Others","WS/MP18317/2024-2025/144590-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT LAHUWAR CHATTI KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Sanction"
"5707","Normal/Others","WS/MP18317/2024-2025/144591-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT CHITAWAN PATTI DURGA PRASAD RAI KE GHAR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Sanction"
"5708","Normal/Others","WS/MP18317/2024-2025/144592-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT SABBALPUR KALA SHIV MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5709","Normal/Others","WS/MP18317/2024-2025/144618-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT NARIYAON AJIT BIND KE GHAR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Sanction"
"5710","Normal/Others","WS/MP18317/2024-2025/144619-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT DHADHNI RANVEER RAI CHANDI MATA MANDIR  KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Sanction"
"5711","Normal/Others","WS/MP18317/2024-2025/144620-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT BETABAR SAHKARI SAMITI BETABARKALA TATHA INDIAN BANK BEECH ROAD KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Sanction"
"5712","Normal/Others","WS/MP18317/2024-2025/144621-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT BETABAR KALA KALI MATA MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Sanction"
"5713","Normal/Others","WS/MP18317/2024-2025/144622-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT HAMEEDPUR HANUMAN MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Sanction"
"5714","Normal/Others","WS/MP18317/2024-2025/144623-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT BHEDPUR KALLI MATA MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5715","Normal/Others","WS/MP18317/2024-2025/144624-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT MALSA KALLA DHADHNI ROAD KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5716","Normal/Others","WS/MP18317/2024-2025/144625-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT MALSA KALLA BIND BASTI ME ROAD KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5717","Normal/Others","WS/MP18317/2024-2025/144626-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT MALSA KALLA SHRI SHIVPUJAN INTER COLLEGE KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5718","Normal/Others","WS/MP18317/2024-2025/144627-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT SARRAIYAN N. H.PAR GHANSHYAM KE GHAR KE SAMNE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5719","Normal/Others","WS/MP18317/2024-2025/144628-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT SHAHPUR LATHIYA HAMEEDPUR KALLI MATA MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5720","Normal/Others","WS/MP18317/2024-2025/144629-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT BARI SHAHPUR LATHIYA SCHOOL GATE KE SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
"5721","Normal/Others","WS/MP18317/2024-2025/144630-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT SAIDABAD SHIV MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Sanction"
"5722","Normal/Others","WS/MP18317/2024-2025/144631-Lighting of public spaces","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","BLOCK ZAMANIA GRAM PANCHAYAT JIVPUR SHIV MANDIR KE PASS SARWAJANIK STHAL PAR 6 X 200 WATT SEMI HIGH MAST LIGHT ADHISHTHAAPAN KA KARYA","29-Sep-2024","09-Jan-2025","216400","Vendor Identification"
