mp_id,parliament_house,mp_name,state,constituency,elected_nominated,allocated_amount
MP_LS_526,Lok Sabha,Vellalath Kochukrishnan Nair Sreekandan,Kerala,PALAKKAD,,167807990.11
MP_LS_527,Lok Sabha,Vijay Baghel,Chhattisgarh,DURG,,147000000.0
MP_LS_528,Lok Sabha,Vijay Kumar Dubey,Uttar Pradesh,KUSHI NAGAR,,148900000.0
MP_LS_529,Lok Sabha,Vijay Kumar Hansdak,Jharkhand,RAJMAHAL(ST),,147223957.11
MP_LS_530,Lok Sabha,Vijaylakshmi Devi,Bihar,SIWAN,,147000000.0
MP_LS_531,Lok Sabha,Vinod Chavda,Gujarat,KACHCHH(SC),,147000000.0
MP_LS_532,Lok Sabha,Vinod Kumar Bind,Uttar Pradesh,BHADOHI,,147000000.0
MP_LS_533,Lok Sabha,Virendra Kumar,Madhya Pradesh,TIKAMGARH(SC),,147000000.0
MP_LS_534,Lok Sabha,Virendra Singh,Uttar Pradesh,CHANDAULI,,147000000.0
MP_LS_535,Lok Sabha,Vishal,Maharashtra,SANGLI,,147000000.0
MP_LS_536,Lok Sabha,Vishnu Dayal Ram,Jharkhand,PALAMU(SC),,158176083.11
MP_LS_537,Lok Sabha,Vishnu Dutt Sharma,Madhya Pradesh,KHAJURAHO,,147000000.0
MP_LS_538,Lok Sabha,Vishweshwar Hegde Kageri,Karnataka,UTTARA KANNADA,,147000000.0
MP_LS_539,Lok Sabha,Vivek Thakur,Bihar,NAWADA,,147000000.0
MP_LS_540,Lok Sabha,Y S Avinash Reddy,Andhra Pradesh,KADAPA,,156430260.11
MP_LS_541,Lok Sabha,Yaduveer Krishnadatta Chamaraja Wadiyar,Karnataka,MYSORE,,147000000.0
MP_LS_542,Lok Sabha,Yogendra Chandoliya,Delhi,NORTH WEST DELHI(SC),,147876307.0
MP_LS_543,Lok Sabha,Zia Ur Rehman,Uttar Pradesh,SAMBHAL,,147000000.0
MP_RS_1,Rajya Sabha,Abhishek Manu Singhvi,Telangana,,Elected MP,73421449.0
MP_RS_2,Rajya Sabha,Ajeet Madhavrao Gopchade,Maharashtra,,Elected MP,147000000.0
MP_RS_3,Rajya Sabha,Alka Singh,Rajasthan,,Elected MP,49000000.0
MP_RS_4,Rajya Sabha,Anbumani Ramadoss,Tamil Nadu,,Elected MP,49356476.5
MP_RS_5,Rajya Sabha,Anil Sukhdeorao Bonde,Maharashtra,,Elected MP,196063957.11
MP_RS_6,Rajya Sabha,Ashok Kumar Mittal,Punjab,,Elected MP,222487632.14
MP_RS_7,Rajya Sabha,Bhim Singh,Bihar,,Elected MP,186200000.0
MP_RS_8,Rajya Sabha,Dharmasthala Veerendra Heggade,Karnataka,,Nominated MP,196063957.11
MP_RS_9,Rajya Sabha,Dharmshila Gupta,Bihar,,Elected MP,186200000.0
MP_RS_10,Rajya Sabha,Dinesh Sharma,Uttar Pradesh,,Elected MP,147000000.0
MP_RS_11,Rajya Sabha,Faiyaz Ahmad,Bihar,,Elected MP,235263957.11
MP_RS_12,Rajya Sabha,John Brittas,Kerala,,Elected MP,245063957.11
MP_RS_13,Rajya Sabha,Jyoti Nagnath Waghmare,Maharashtra,,Elected MP,49000000.0
MP_RS_14,Rajya Sabha,K. Laxman,Uttar Pradesh,,Elected MP,197637007.11
MP_RS_15,Rajya Sabha,Kalpana Saini,Uttarakhand,,Elected MP,200830405.8
